period,posts,avg_sentiment,positive_rate,negative_rate,rolling_mean,rolling_std,z_score,trend_flag
2009-02-26,1,-1.0,0.0,1.0,,,,normal
2009-05-27,1,0.0,0.0,0.0,,,,normal
2012-12-17,1,1.0,1.0,0.0,0.0,1.0,1.0,normal
2013-05-20,1,1.0,1.0,0.0,0.25,0.9574271077563381,0.7833494518006403,normal
2013-05-28,1,-1.0,0.0,1.0,0.0,1.0,-1.0,normal
2013-10-10,1,-1.0,0.0,1.0,-0.16666666666666666,0.983192080250175,-0.847579379526013,normal
2013-12-25,1,-1.0,0.0,1.0,-0.2857142857142857,0.9511897312113418,-0.7509392614826383,normal
2014-06-08,1,1.0,1.0,0.0,0.0,1.0,1.0,normal
2014-06-27,1,-1.0,0.0,1.0,-0.14285714285714285,1.0690449676496976,-0.8017837257372732,normal
2014-08-06,2,0.5,0.5,0.0,-0.21428571428571427,0.9940297973880049,0.7185757571479554,normal
2014-08-07,2,1.0,1.0,0.0,-0.21428571428571427,0.9940297973880049,1.221578787151524,normal
2014-08-10,1,0.0,0.0,0.0,-0.07142857142857142,0.9322272357358045,0.07662141663581953,normal
2014-08-11,1,1.0,1.0,0.0,0.21428571428571427,0.9063269671749656,0.8669214468630108,normal
2014-10-24,6,1.0,1.0,0.0,0.5,0.7637626158259733,0.6546536707079772,normal
2014-10-25,2,1.0,1.0,0.0,0.5,0.7637626158259733,0.6546536707079772,normal
2014-10-26,2,1.0,1.0,0.0,0.7857142857142857,0.3933978962347214,0.5447047794019225,normal
2014-10-27,2,1.0,1.0,0.0,0.8571428571428571,0.377964473009227,0.3779644730092276,normal
2014-10-31,1,1.0,1.0,0.0,0.8571428571428571,0.377964473009227,0.3779644730092276,normal
2014-11-02,1,1.0,1.0,0.0,1.0,0.0,,normal
2014-11-04,13,0.6923076923076923,0.7692307692307693,0.07692307692307693,0.9560439560439561,0.11629676092591515,-2.267786838055382,negative_spike
2014-11-05,5,0.6,0.8,0.2,0.8989010989010989,0.17470338748346145,-1.710906143301857,normal
