period,posts,avg_sentiment,positive_rate,negative_rate
2015-05-24,2,0.0,0.5,0.5
2015-05-25,3,-0.3333333333333333,0.3333333333333333,0.6666666666666666
2015-05-26,5,0.4,0.6,0.2
2015-05-27,4,0.5,0.75,0.25
2015-05-28,5,0.6,0.6,0.0
2015-05-29,9,0.7777777777777778,0.8888888888888888,0.1111111111111111
2015-05-30,8,1.0,1.0,0.0
2015-05-31,4,0.5,0.75,0.25
2015-06-01,5,1.0,1.0,0.0
2015-06-02,2,1.0,1.0,0.0
2015-06-03,11,0.7272727272727273,0.8181818181818182,0.09090909090909091
2015-06-04,6,0.6666666666666666,0.6666666666666666,0.0
2015-06-05,9,0.5555555555555556,0.6666666666666666,0.1111111111111111
2015-06-06,5,0.4,0.6,0.2
2015-06-07,6,1.0,1.0,0.0
2015-06-08,5,1.0,1.0,0.0
2015-06-09,5,0.2,0.6,0.4
2015-06-10,6,1.0,1.0,0.0
2015-06-11,10,1.0,1.0,0.0
2015-06-12,5,0.8,0.8,0.0
2015-06-13,4,1.0,1.0,0.0
2015-06-14,2,1.0,1.0,0.0
2015-06-15,9,0.7777777777777778,0.7777777777777778,0.0
2015-06-16,9,1.0,1.0,0.0
2015-06-17,11,0.5454545454545454,0.6363636363636364,0.09090909090909091
2015-06-18,11,0.6363636363636364,0.7272727272727273,0.09090909090909091
2015-06-19,6,0.5,0.5,0.0
2015-06-20,3,1.0,1.0,0.0
2015-06-21,1,1.0,1.0,0.0
2015-06-22,4,1.0,1.0,0.0
2015-06-23,7,0.7142857142857143,0.8571428571428571,0.14285714285714285
2015-06-24,6,0.6666666666666666,0.6666666666666666,0.0
2015-06-25,9,0.7777777777777778,0.7777777777777778,0.0
2015-06-26,4,0.5,0.75,0.25
2015-06-27,4,1.0,1.0,0.0
2015-06-28,13,0.6153846153846154,0.6153846153846154,0.0
2015-06-29,3,0.6666666666666666,0.6666666666666666,0.0
2015-06-30,3,0.6666666666666666,0.6666666666666666,0.0
2015-07-01,6,0.3333333333333333,0.6666666666666666,0.3333333333333333
2015-07-02,4,1.0,1.0,0.0
2015-07-03,8,0.75,0.875,0.125
2015-07-04,4,1.0,1.0,0.0
2015-07-05,4,1.0,1.0,0.0
2015-07-06,3,0.3333333333333333,0.3333333333333333,0.0
2015-07-07,2,1.0,1.0,0.0
2015-07-08,11,0.7272727272727273,0.8181818181818182,0.09090909090909091
2015-07-09,11,0.7272727272727273,0.8181818181818182,0.09090909090909091
2015-07-10,12,1.0,1.0,0.0
2015-07-11,6,0.8333333333333334,0.8333333333333334,0.0
2015-07-12,4,1.0,1.0,0.0
2015-07-13,6,0.6666666666666666,0.8333333333333334,0.16666666666666666
2015-07-14,6,0.0,0.5,0.5
2015-07-15,6,1.0,1.0,0.0
2015-07-16,2,1.0,1.0,0.0
2015-07-17,6,0.8333333333333334,0.8333333333333334,0.0
2015-07-18,4,0.5,0.75,0.25
2015-07-19,6,1.0,1.0,0.0
2015-07-20,11,0.8181818181818182,0.8181818181818182,0.0
2015-07-21,6,0.6666666666666666,0.8333333333333334,0.16666666666666666
2015-07-22,9,1.0,1.0,0.0
2015-07-23,9,0.7777777777777778,0.8888888888888888,0.1111111111111111
2015-07-24,4,0.5,0.5,0.0
2015-07-25,4,0.0,0.5,0.5
2015-07-26,8,0.75,0.75,0.0
2015-07-27,6,0.6666666666666666,0.8333333333333334,0.16666666666666666
2015-07-28,14,0.5714285714285714,0.6428571428571429,0.07142857142857142
2015-07-29,16,0.875,0.9375,0.0625
2015-07-30,8,0.875,0.875,0.0
2015-07-31,7,0.7142857142857143,0.8571428571428571,0.14285714285714285
2015-08-01,8,0.75,0.875,0.125
2015-08-02,3,1.0,1.0,0.0
