,precision,recall,f1-score,support
negative,0.5548387096774193,0.819047619047619,0.6615384615384615,315.0
neutral,0.3394919168591224,0.6176470588235294,0.43815201192250375,238.0
positive,0.9846218664419634,0.917910447761194,0.9500965545278992,5092.0
accuracy,0.8997342781222321,0.8997342781222321,0.8997342781222321,0.8997342781222321
macro avg,0.6263174976595017,0.7848683752107809,0.6832623426629549,5645.0
weighted avg,0.933439825276056,0.8997342781222321,0.9124103542742664,5645.0
